,average_score,70%,80%,90%,95%,99%
TCGA-24-1413-01,0.594023823465517,-0.0566437847512304,-0.0489202853198678,-0.0369289777424443,-0.0215769089802846,0.0415014358550067
TCGA-24-1416-01,3.24631167877264,-0.0259540385350354,-0.0156550823146944,0.0032947157679647,0.0294740040143883,0.134400243798415
TCGA-24-1417-01,-0.0129238695259948,-0.0432434951971726,-0.0352374488875262,-0.0228180086779907,-0.00628220360565371,0.046035457491831
TCGA-24-1418-01,5.96925454548424,-0.0273010166275917,-0.0168797813710182,0.00237736292480064,0.0239476327425399,0.130184680720133
TCGA-24-1419-01,2.14554164103979,-0.0370322249483123,-0.0268054212733096,-0.0110890588917456,0.00865464810570855,0.0955028452305152
TCGA-24-1422-01,0.9132141159771,-0.0507604143400808,-0.0419223926911702,-0.0255175004210726,-0.00730129794836902,0.084759215437829
TCGA-24-1423-01,0.410273869191586,-0.0623330888802661,-0.0557111425952658,-0.043013795562172,-0.0281971748412731,0.0478903418334464
TCGA-24-1424-01,2.1272507538157,-0.037881848454419,-0.0298959881668705,-0.0158978081929549,0.00236095038776404,0.0832254434060418
TCGA-24-1425-01,2.16054846582146,-0.0396586126417406,-0.0332333671667167,-0.0189070787881174,-0.00355731548891821,0.0769921419966574
TCGA-24-1426-01,1.54418337243131,-0.0435918878435732,-0.0354326328170359,-0.0221365833341331,-0.00568761201457027,0.0667271028507802
TCGA-24-1427-01,0.903254333972752,-0.0482866506891027,-0.0401012953339576,-0.0244001119564582,-0.00428299433701727,0.0672063190710138
TCGA-24-1428-01,5.88470618827058,-0.0264173835352838,-0.0133743809542848,0.00557061435759152,0.0294752003075502,0.134501194035152
TCGA-24-1431-01,-0.014102097051034,-0.0464497781963993,-0.0461080313929858,-0.0317382376905073,-0.0164436054017407,0.0266058330837669
TCGA-24-1434-01,6.32777884420216,-0.0337444698367725,-0.0240363243450234,-0.00901925188796145,0.0112804396000883,0.100820078461966
TCGA-24-1435-01,0.189520819548028,-0.0782803364231338,-0.0687844631241695,-0.048812530397868,-0.0142737993905446,0.234065220127375
TCGA-24-1436-01,1.13723545563789,-0.0483076663265562,-0.0405941734733936,-0.0262548413524694,-0.00428804635822738,0.102726217060653
TCGA-24-1463-01,1.01378818882447,-0.0592096830036266,-0.0514030681623477,-0.0371338211836153,-0.0212951891320617,0.0580093339954887
TCGA-24-1464-01,2.25080159369773,-0.0449902421631833,-0.0344903209129813,-0.017905600459751,0.000876526718564132,0.0586980211153012
TCGA-24-1466-01,0.733393654687224,-0.0539376776460109,-0.0462959575102364,-0.0309049923759286,-0.0100647139606809,0.075218208797386
TCGA-24-1469-01,0.032096263803338,-0.093196913104304,-0.0844765324264536,-0.0698160162413685,-0.051532711189425,9.68489789222076
TCGA-24-1470-01,2.15609936984647,-0.0545317683616484,-0.0474698843150931,-0.035066501447827,-0.0202755380490417,0.0670330659544683
TCGA-24-1471-01,2.08064997343105,-0.0343482999976996,-0.0230240030753082,-0.00211429923876673,0.0217505000086177,0.14430217311862
TCGA-24-1474-01,1.50067471999093,-0.0420123421744338,-0.0340169563504539,-0.0190740696501296,0.0023435139604447,0.085638197824941
TCGA-24-1549-01,3.08911003809302,-0.0406605666168325,-0.0404312994923872,-0.0390925110013583,-0.0180881361772125,0.043186814265642
TCGA-24-1551-01,3.28615312295337,-0.0334674661347746,-0.0233834239739152,-0.00553306392386374,0.0155961008973238,0.124367490961982
TCGA-24-1552-01,5.9638852294083,-0.0273829018051652,-0.0169651080922342,0.00247018941621063,0.0235901905682509,0.137586612024017
TCGA-24-1562-01,1.78134450304147,-0.0507681960195427,-0.0433026700116288,-0.0295176848331327,-0.0138314228079399,0.0931737707310639
TCGA-24-1563-01,1.44548515650145,-0.0544946060779293,-0.0484860817336203,-0.0359947175940278,-0.0196363756641796,0.0355215987355048
TCGA-24-1564-01,2.10578357036911,-0.0373570357537306,-0.0277141074363925,-0.00860865214238729,0.0175881693992598,0.113363288234226
TCGA-24-1565-01,-0.00376070505774293,-0.0458641551541994,-0.039718548098005,-0.0280348164549033,-0.0156182795077083,0.0321522463158705
TCGA-24-1603-01,0.928623602045363,-0.049088804317723,-0.0417068871059521,-0.0285865283698607,-0.0125052282768649,0.0400826782021358
TCGA-24-1616-01,0.924631170518251,-0.0482720672241592,-0.0406537851313681,-0.0278129202469105,-0.0110042644976653,0.0772652727787511
TCGA-24-1842-01,0.909543249034582,-0.0502840072535677,-0.0436323565589462,-0.0303489787678987,-0.012810720088875,0.0469412634683153
TCGA-24-1843-01,0.348762929403785,-0.0676391338999067,-0.05932138780634,-0.0432007009667266,-0.0223541622961642,0.0726338875121974
TCGA-24-1844-01,0.356789648240398,-0.0835650790803022,-0.0764157852114526,-0.0646299681228738,-0.0503091512016536,0.0362008130867486
TCGA-24-1845-01,0.0720640012260695,-0.0922109501532247,-0.085560116675504,-0.0744997246560445,-0.0612508808786718,0.111402862713352
TCGA-24-1846-01,0.292463123016962,-0.0695845438101073,-0.0629127198661626,-0.0476514976685788,-0.0290184479577606,0.0528805352774586
TCGA-24-1847-01,0.584425221083483,-0.0572517246028978,-0.0494524582756156,-0.0350320242291372,-0.0160498651633237,0.0691604252838656
TCGA-24-1849-01,0.87914838795292,-0.0485117551098318,-0.0398033394741032,-0.0212596877521545,-0.00421994524559258,0.0876525068324911
TCGA-24-1850-01,0.279590046082042,-0.0693496969012015,-0.0613955390316124,-0.0465721668423649,-0.0274839355559624,0.0654295343409661
TCGA-24-2019-01,3.28725876886281,-0.0344092738272874,-0.0241244827575934,-0.00503117309889508,0.0183624923404031,0.110744238736237
TCGA-24-2024-01,0.249420534737644,-0.0718929372172895,-0.0625880287520904,-0.0456224246863589,-0.0260177256941858,0.0966502208994402
TCGA-24-2030-01,0.490620813007355,-0.059552249020903,-0.0527683850674317,-0.0382859129363154,-0.0223765451385067,0.0453139373955557
TCGA-24-2035-01,-0.0418428503688895,-0.0398599852634797,-0.0308293402194897,-0.0157962541241901,0.000210053539143963,0.0483712664976683
TCGA-24-2038-01,0.0536355936599562,-0.0396924908187286,-0.019560308494148,-0.00402210915122011,0.0145209787271572,0.110547984953623
TCGA-24-2254-01,0.901583342485664,-0.0500080436146319,-0.0433865104724967,-0.029921931087682,-0.010161017505452,0.065788658165379
TCGA-24-2260-01,1.534392701771,-0.0417874567054876,-0.0334801192956815,-0.0209985158893592,-0.00439092585879517,0.0742830215445726
TCGA-24-2261-01,5.95804791559707,-0.0276741500720412,-0.0169899559816319,0.00294289130770709,0.0273985835284263,0.125676484693667
TCGA-24-2262-01,3.23516104913997,-0.0332055782490243,-0.0229833525127444,-0.00495752501826358,0.0167755451126275,0.0997307654701979
TCGA-24-2267-01,0.412734792828304,-0.0625537031602055,-0.0542587677636027,-0.0382812735232417,-0.0197995354440943,0.0532436572654085
TCGA-24-2271-01,2.12155997731204,-0.0366339735845791,-0.0288323152187118,-0.0145956215812425,0.0052668569395282,0.0864230435242387
TCGA-24-2281-01,2.96778810943745,-0.0421493907886041,-0.0348175872292254,-0.0216526415298347,-0.00649509667707581,0.0734505953036606
TCGA-24-2288-01,15.7388985496354,-0.0209785707976596,-0.00858947634993743,0.0159399588213867,0.0437551999812571,0.180701175255044
TCGA-24-2289-01,15.7388985496354,-0.0209785707976596,-0.00858947634993743,0.0159399588213867,0.0437551999812571,0.180701175255044
TCGA-24-2290-01,0.910251182633793,-0.0505922844788488,-0.0426488004773477,-0.0255209755109125,-0.00429450152754271,0.0830787100843038
TCGA-24-2293-01,-0.00247372845880481,-0.0409119591632213,-0.0400933377174761,-0.0206402790295233,-0.00676775033746452,0.0313107762308765
TCGA-24-2298-01,-0.0513669091340069,-0.0439440255940863,-0.0351622472765473,-0.0196346077199831,-0.00501815263170183,0.063839589547563
TCGA-25-1313-01,0.715674374849294,-0.0541458146732383,-0.0462231831641586,-0.0315595853875464,-0.0149055993231785,0.0807787617280489
TCGA-25-1315-01,0.503741863059315,-0.0595317904115557,-0.0525158138075639,-0.0401925067992517,-0.026384170209728,0.0494047760117701
TCGA-25-1316-01,0.0202476240796454,-0.0390113750057486,-0.0260603051784086,-0.0115473532451109,0.00205935266868144,0.0544599386271471
TCGA-25-1319-01,1.76277666876838,-0.0505681173571556,-0.0434148962274158,-0.0297361956028067,-0.00974502955345065,0.0759838707136432
TCGA-25-1320-01,1.48832668278187,-0.0412181643681279,-0.0325440220626559,-0.0160443448617797,0.00746607885140588,0.103668366557254
TCGA-25-1321-01,2.12310564076133,-0.0369372379843971,-0.0286418981713515,-0.0138153100496168,0.00416414793848166,0.0895043157283705
TCGA-25-1322-01,3.30260090275883,-0.0315298629220385,-0.0216744759612734,-0.00544434195265967,0.0113563455222759,0.096586736145833
TCGA-25-1326-01,0.501527590400059,-0.0757196400210667,-0.0682412634968587,-0.0537240828469016,-0.0366498104084805,0.0451802598164861
TCGA-25-1329-01,3.23821964557149,-0.0318716694891485,-0.0216114051539647,-0.00459362508453204,0.0159134460850096,0.120081056772153
TCGA-25-2042-01,-0.0161557527875725,-0.0483413229591684,-0.0362716554336691,-0.0248754700075568,-0.0146365124263953,0.021028403927514
TCGA-25-2391-01,0.128635453630724,-0.0270982721124982,-0.0264671336042971,-0.00315442043620268,0.0185950373675396,0.0671088849501683
TCGA-25-2392-01,0.504020804813381,-0.0607081736957841,-0.0541034828171706,-0.0424266815378886,-0.0281295016225357,0.0525677926821537
TCGA-25-2393-01,-0.0494411438353421,-0.0515168116988855,-0.0446635454860477,-0.0330666968663394,-0.0228029853711927,0.0211828223030993
TCGA-25-2396-01,1.54454280383047,-0.0406553082668195,-0.0322622279242012,-0.0172535797143769,0.00159511332563242,0.0737010595589916
TCGA-25-2398-01,-0.0570789876820472,-0.0512458901596549,-0.0438126527643646,-0.0312641425715215,-0.0175375103813064,0.016018660407355
TCGA-25-2399-01,0.72656043186442,-0.0537049201163046,-0.0447374173537977,-0.0285523734555624,-0.0121925078121518,0.0751733306567365
TCGA-25-2400-01,0.875924541650127,-0.0631749175660078,-0.0571428863950807,-0.0443181117535902,-0.0281477985100797,0.0812948789122608
